,Title,Description,Release Date,Metascore,User Score
44,Advent Rising,"In Advent Rising, a common legend pervades the galaxy - that of a powerful, ancient race that will one day unite the universe.  Millions of cultures from vastly distant worlds revere and hallow these mythological beings known as humans.  One race, the Seekers, know humans actually exist and are threatened by their potential power.  Under the guise of benevolent explorers, the Seekers travel throughout the galaxy in a desperate attempt to eradicate any human society they unearth. Players assume the role of Gideon Wyeth, a remnant of the last human outpost, on the brink of discovering the incredible powers that lay dormant within him.  It is these powers the Seekers are so desperate to suppress. [Majesco]","August 9, 2005",70,8.6
45,Mr. Shifty,"Shift through bullets, and master lightning-fast takedowns in an all new kind of action game from tinyBuild and Team Shifty. Mr. Shifty follows a teleportation-fueled heist to break into the world's most secure facility.","April 13, 2017",70,6.8
46,Richard & Alice,"Richard & Alice are prisoners. Both of their cells have a leather sofa and a state-of-the-art computer. But only Richard’s has a TV. Outside, the snow falls. It has done for some time. Elsewhere, they say, parts of the world have been rendered an inhospitable desert, the earth parched and cracked. People live in the zones now.","February 21, 2013",70,6.8
47,Delta Force: Black Hawk Down - Team Sabre,As the US army's elite special operations soldiers you are the most potent 'smart weapon' known to man. You are the 'tip of the spear' for covert operations around the world - you are the first line of attack. Nothing stands in your way. From the war torn streets of Somalia you have been re-deployed to take out targets in Colombia and Iran. As the US military?s preemptive strike force you must work with your team to get the job done. [NovaLogic],"January 20, 2004",70,7.3
48,World War II: Frontline Command,"World War II Frontline Command is an action strategy title set within the era of World War II that will appeal to all levels of PC gamers and war enthusiasts. The game opens with the player dropping paratroopers into Europe to disrupt the entrenched Axis forces ahead of the main invasion forces set to land on D-Day. Players must take command of their forces and turn the tide of Axis aggression while conquering fortress Europe, using a vast amount of authentic infantry, vehicles and weaponry. [Strategy First]","June 27, 2003",70,6.8
49,EVE Online,"The spectacular space combat, commerce, and exploration game, whose breathtaking graphics, special effects, and intricate gameplay provide an experience unlike any other. Played on the Internet, this massively multiplayer online persistent world game takes place in a universe teeming with life every hour of every day. Take on the role of a spaceship captain cruising around the universe, trading, fighting and communicating with other players and create a life beyond imagination.","May 6, 2003",69,7.2
50,Ironclad Tactics,"Ironclad Tactics is a fast-paced, card-based tactics game set in an alternate version of The Civil War - with steam-powered military robots. There are no microtransactions in the game. Unlock cards by playing the game, not by purchasing them separately.","September 18, 2013",69,7.2
51,Rogue Trooper,"On the war-torn, poisoned atmosphere of Nu Earth, Rogue Trooper is a genetic infantryman, one of an elite squad of biologically-engineered clone troops, created to overcome the planet's hostile atmosphere, unhindered in their fight against the enemy, the Nort Republic. After witnessing the betrayal and annihilation of his squad at the Quartz Zone Massacre, Rogue has gone AWOL, determined to hunt down the traitor who sent his brothers-in-arms to their deaths. Armed with the latest experimental weapons, Rogue's arsenal offers him a critical advantage over his opponents; encoded bio-chips containing the digitised personalities of his fallen comrades are stored in his gun, helmet and backpack, each offering their unique expertise and assistance, allowing Rogue to strategically outwit a sophisticated enemy. The game is a mix of intense 3rd person action and next generation stealth elements, with complex line-of-sight AI, multiple game paths, full tactical use of your bio-chip operated equipment and both single- and multiplayer online gameplay. [SCi Games]","May 23, 2006",69,7.7
52,Halfway,"Halfway is a turn-based strategy RPG which takes place a few hundred years into the future. Humanity has begun to colonise new worlds and until now, they were alone… In Halfway you take control of a small team of survivors faced with a violent invasion onboard the colonial vessel Goliath. As their leader you will guide them through the dark and cramped corridors of the ship to slowly take back control.","July 22, 2014",69,6.0
53,City of Brass,"Become a daring thief in City of Brass, a punishing first-person rogue-lite filled with treasure, traps and ghoulish foes. Armed with scimitar and a versatile whip, you’ll lash and slash, bait and trap your way to the heart of an opulent, Arabian Nights-themed metropolis – or face certain death as time runs out.","May 4, 2018",69,3.9
54,Blair Witch,"Your darkest fears will awaken in these woods.
It's 1996. A young boy disappears in the Black Hills Forest near Burkittsville, Maryland. As Ellis, a former police officer with a troubled past, you join the search. What starts as an ordinary investigation soon turns into an endless nightmare as you confront your fears and the Blair Witch, a mysterious force that haunts the woods

Blair Witch is a first-person, story-driven psychological horror game based on the cinematic lore of Blair Witch.
A STORY OF THE HUMAN DESCENT INTO DARKNESS
From the creative minds behind the critically acclaimed Layers of Fear, experience first-hand the toll that fear can take on the mind in an original story inspired by the cinematic lore of Blair Witch.
FIND THE WAY THROUGH THE HAUNTED WOODS
With just your loyal dog Bullet by your side, navigate your way through a cursed forest that warps and distorts both time and space.
YOUR SANITY AGAINST HER CURSE
Stand against the horrors of the Blair Witch and the decaying sanity of a man burdened by his past.
HOW WILL YOU FACE YOUR FEARS?
As you delve deeper into the woods, how you react to danger and behave under pressure will ultimately teach you more about yourself.","August 30, 2019",69,6.3
